CodigoProvincia;CodigoCanton;CodigoParroquia;NombreProvincia;NombreCanton;NombreParroquia
01;01;50;AZUAY;CUENCA;CUENCA
01;01;51;AZUAY;CUENCA;BAÑOS
01;01;52;AZUAY;CUENCA;CUMBE
01;01;53;AZUAY;CUENCA;CHAUCHA
01;01;54;AZUAY;CUENCA;CHECA
01;01;55;AZUAY;CUENCA;CHIQUINTAD
01;01;56;AZUAY;CUENCA;LLACAO
01;01;57;AZUAY;CUENCA;MOLLETURO
01;01;58;AZUAY;CUENCA;NULTI
01;01;59;AZUAY;CUENCA;OCTAVIO CORDERO PALACIOS
01;01;60;AZUAY;CUENCA;PACCHA
01;01;61;AZUAY;CUENCA;QUINGEO
01;01;62;AZUAY;CUENCA;RICAURTE
01;01;63;AZUAY;CUENCA;SAN JOAQUIN
01;01;64;AZUAY;CUENCA;SANTA ANA
01;01;65;AZUAY;CUENCA;SAYAUSI
01;01;66;AZUAY;CUENCA;SIDCAY
01;01;67;AZUAY;CUENCA;SININCAY
01;01;68;AZUAY;CUENCA;TARQUI
01;01;69;AZUAY;CUENCA;TURI
01;01;70;AZUAY;CUENCA;VALLE
01;01;71;AZUAY;CUENCA;VICTORIA DEL PORTETE
01;02;50;AZUAY;GIRON;GIRON
01;02;51;AZUAY;GIRON;LA ASUNCION
01;02;52;AZUAY;GIRON;SAN GERARDO
01;03;50;AZUAY;GUALACEO;GUALACEO
01;03;52;AZUAY;GUALACEO;DANIEL CORDOVA TORAL
01;03;53;AZUAY;GUALACEO;JADAN
01;03;54;AZUAY;GUALACEO;MARIANO MORENO
01;03;56;AZUAY;GUALACEO;REMIGIO CRESPO TORAL
01;03;57;AZUAY;GUALACEO;SAN JUAN
01;03;58;AZUAY;GUALACEO;ZHIDMAD
01;03;59;AZUAY;GUALACEO;LUIS CORDERO VEGA
01;03;60;AZUAY;GUALACEO;SIMON BOLIVAR
01;04;50;AZUAY;NABON;NABON
01;04;51;AZUAY;NABON;COCHAPATA
01;04;52;AZUAY;NABON;EL PROGRESO
01;04;53;AZUAY;NABON;LAS NIEVES
01;05;50;AZUAY;PAUTE;PAUTE
01;05;52;AZUAY;PAUTE;BULAN
01;05;53;AZUAY;PAUTE;CHICAN
01;05;54;AZUAY;PAUTE;EL CABO
01;05;56;AZUAY;PAUTE;GUARAINAG
01;05;59;AZUAY;PAUTE;SAN CRISTOBAL
01;05;61;AZUAY;PAUTE;TOMEBAMBA
01;05;62;AZUAY;PAUTE;DUG DUG
01;06;50;AZUAY;PUCARA;PUCARA
01;06;52;AZUAY;PUCARA;SAN RAFAEL DE SHARUG
01;07;50;AZUAY;SAN FERNANDO;SAN FERNANDO
01;07;51;AZUAY;SAN FERNANDO;CHUMBLIN
01;08;50;AZUAY;SANTA ISABEL;SANTA ISABEL
01;08;51;AZUAY;SANTA ISABEL;ABDON CALDERON
01;08;52;AZUAY;SANTA ISABEL;EL CARMEN DE PIJILI
01;08;53;AZUAY;SANTA ISABEL;SHAGLLI
01;08;54;AZUAY;SANTA ISABEL;SAN SALVADOR DE CAÑARIBAMBA
01;09;50;AZUAY;SIGSIG;SIGSIG
01;09;51;AZUAY;SIGSIG;CUCHIL
01;09;52;AZUAY;SIGSIG;JIMA
01;09;53;AZUAY;SIGSIG;GÜEL
01;09;54;AZUAY;SIGSIG;LUDO
01;09;55;AZUAY;SIGSIG;SAN BARTOLOME
01;09;56;AZUAY;SIGSIG;SAN JOSE DE RARANGA
01;10;50;AZUAY;OÑA;SAN FELIPE DE OÑA
01;10;51;AZUAY;OÑA;SUSUDEL
01;11;50;AZUAY;CHORDELEG;CHORDELEG
01;11;51;AZUAY;CHORDELEG;PRINCIPAL
01;11;52;AZUAY;CHORDELEG;LA UNION
01;11;53;AZUAY;CHORDELEG;LUIS GALARZA ORELLANA
01;11;54;AZUAY;CHORDELEG;SAN MARTIN DE PUZHIO
01;12;50;AZUAY;EL PAN;EL PAN
01;12;53;AZUAY;EL PAN;SAN VICENTE
01;13;50;AZUAY;SEVILLA DE ORO;SEVILLA DE ORO
01;13;51;AZUAY;SEVILLA DE ORO;AMALUZA
01;13;52;AZUAY;SEVILLA DE ORO;PALMAS
01;14;50;AZUAY;GUACHAPALA;GUACHAPALA
01;15;50;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ
01;15;51;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ
02;01;50;BOLIVAR;GUARANDA;GUARANDA
02;01;51;BOLIVAR;GUARANDA;FACUNDO VELA
02;01;53;BOLIVAR;GUARANDA;JULIO E. MORENO
02;01;55;BOLIVAR;GUARANDA;SALINAS
02;01;56;BOLIVAR;GUARANDA;SAN LORENZO
02;01;57;BOLIVAR;GUARANDA;SAN SIMON
02;01;58;BOLIVAR;GUARANDA;SANTA FE
02;01;59;BOLIVAR;GUARANDA;SIMIATUG
02;01;60;BOLIVAR;GUARANDA;SAN LUIS DE PAMBIL
02;02;50;BOLIVAR;CHILLANES;CHILLANES
02;02;51;BOLIVAR;CHILLANES;SAN JOSE DEL TAMBO
02;03;50;BOLIVAR;CHIMBO;SAN JOSE DE CHIMBO
02;03;51;BOLIVAR;CHIMBO;ASUNCION
02;03;53;BOLIVAR;CHIMBO;LA MAGDALENA
02;03;54;BOLIVAR;CHIMBO;SAN SEBASTIAN
02;03;55;BOLIVAR;CHIMBO;TELIMBELA
02;04;50;BOLIVAR;ECHEANDIA;ECHEANDIA
02;05;50;BOLIVAR;SAN MIGUEL;SAN MIGUEL
02;05;51;BOLIVAR;SAN MIGUEL;BALSAPAMBA
02;05;52;BOLIVAR;SAN MIGUEL;BILOVAN
02;05;53;BOLIVAR;SAN MIGUEL;REGULO DE MORA
02;05;54;BOLIVAR;SAN MIGUEL;SAN PABLO
02;05;55;BOLIVAR;SAN MIGUEL;SANTIAGO
02;05;56;BOLIVAR;SAN MIGUEL;SAN VICENTE
02;06;50;BOLIVAR;CALUMA;CALUMA
02;07;50;BOLIVAR;LAS NAVES;LAS NAVES
03;01;50;CAÑAR;AZOGUES;AZOGUES
03;01;51;CAÑAR;AZOGUES;COJITAMBO
03;01;53;CAÑAR;AZOGUES;GUAPAN
03;01;54;CAÑAR;AZOGUES;JAVIER LOYOLA
03;01;55;CAÑAR;AZOGUES;LUIS CORDERO
03;01;56;CAÑAR;AZOGUES;PINDILIG
03;01;57;CAÑAR;AZOGUES;RIVERA
03;01;58;CAÑAR;AZOGUES;SAN MIGUEL
03;01;60;CAÑAR;AZOGUES;TADAY
03;02;50;CAÑAR;BIBLIAN;BIBLIAN
03;02;51;CAÑAR;BIBLIAN;NAZON
