periodo;linea_pobreza;linea_pobreza_extrema
200701;58,83;33,15
200702;58,83;33,15
200703;58,83;33,15
200704;58,83;33,15
200705;58,83;33,15
200706;58,83;33,15
200707;58,83;33,15
200708;58,83;33,15
200709;58,83;33,15
200710;58,83;33,15
200711;58,83;33,15
200712;58,83;33,15
200801;58,83;33,15
200802;58,83;33,15
200803;58,83;33,15
200804;58,83;33,15
200805;58,83;33,15
200806;62,88;35,44
200807;62,88;35,44
200808;62,88;35,44
200809;62,88;35,44
200810;62,88;35,44
200811;62,88;35,44
200812;64,2;36,18
200901;64,2;36,18
200902;64,2;36,18
200903;64,2;36,18
200904;64,2;36,18
200905;64,2;36,18
200906;66,78;37,64
200907;66,78;37,64
200908;66,78;37,64
200909;66,78;37,64
200910;66,78;37,64
200911;66,78;37,64
200912;66,78;37,64
201001;66,78;37,64
201002;66,78;37,64
201003;66,78;37,64
201004;66,78;37,64
201005;66,78;37,64
201006;68,43;38,56
201007;68,43;38,56
201008;68,43;38,56
201009;68,43;38,56
201010;68,43;38,56
201011;68,43;38,56
201012;69,05;38,91
201101;69,05;38,91
201102;69,05;38,91
201103;69,05;38,91
201104;69,05;38,91
201105;69,05;38,91
201106;71,32;40,19
201107;71,32;40,19
201108;71,32;40,19
201109;71,32;40,19
201110;71,32;40,19
201111;71,32;40,19
201112;72,87;41,06
201201;72,87;41,06
201202;72,87;41,06
201203;72,87;41,06
201204;72,87;41,06
201205;72,87;41,06
201206;74,78;42,15
201207;74,78;42,15
201208;74,78;42,15
201209;74,78;42,15
201210;74,78;42,15
201211;74,78;42,15
201212;76,34;43,02
201301;76,34;43,02
201302;76,34;43,02
201303;76,34;43,02
201304;76,34;43,02
201305;76,34;43,02
201306;77,03;43,41
201307;77,03;43,41
201308;77,03;43,41
201309;77,03;43,41
201310;77,03;43,41
201311;77,03;43,41
201312;78,1;44,01
201401;78,1;44,01
201402;78,1;44,01
201403;78,1;44,01
201404;78,1;44,01
201405;78,1;44,01
201406;79,7;44,91
201407;79,7;44,91
201408;79,7;44,91
201409;79,7;44,91
201410;79,7;44,91
201411;79,7;44,91
201412;81,04;45,67
201501;81,04;45,67
201502;81,04;45,67
201503;81,04;45,67
201504;81,04;45,67
201505;81,04;45,67
201506;83,29;46,94
201507;83,29;46,94
201508;83,29;46,94
201509;83,29;46,94
201510;83,29;46,94
201511;83,29;46,94
201512;83,79;47,22
201601;83,79;47,22
201602;83,79;47,22
201603;83,79;47,22
201604;83,79;47,22
201605;83,79;47,22
201606;84,65;47,7
201607;84,65;47,7
201608;84,65;47,7
201609;84,65;47,7
201610;84,65;47,7
201611;84,65;47,7
201612;84,68;47,72
201701;84,68;47,72
201702;84,68;47,72
201703;84,68;47,72
201704;84,68;47,72
201705;84,68;47,72
201706;85,58;48,23
201707;85,58;48,23
201708;85,58;48,23
201709;85,58;48,23
201710;85,58;48,23
201711;85,58;48,23
201712;84,49;47,62
201801;84,49;47,62
201802;84,49;47,62
201803;84,49;47,62
201804;84,49;47,62
201805;84,49;47,62
201806;84,72;47,74
201807;84,72;47,74
201808;84,72;47,74
201809;84,72;47,74
201810;84,72;47,74
201811;84,72;47,74
201812;84,79;47,78
201901;84,79;47,78
201902;84,79;47,78
201903;84,79;47,78
201904;84,79;47,78
201905;84,79;47,78
201906;85,03;47,92
201907;85,03;47,92
201908;85,03;47,92
201909;85,03;47,92
201910;85,03;47,92
201911;85,03;47,92
201912;84,82;47,8
202001;84,82;47,8
202002;84,82;47,8
202003;84,82;47,8
202004;84,82;47,8
202005;84,82;47,8
202006;84,05;47,37
202007;84,05;47,37
202008;84,05;47,37
202009;84,05;47,37
202010;84,05;47,37
202011;84,05;47,37
202012;84,05;47,37
202101;84,05;47,37
202102;84,05;47,37
202103;84,05;47,37
202104;84,05;47,37
202105;84,05;47,37
202106;84,71;47,74
202107;84,71;47,74
202108;84,71;47,74
202109;84,71;47,74
202110;84,71;47,74
202111;84,71;47,74
202112;85,6;48,24
202201;85,6;48,24
202202;85,6;48,24
202203;85,6;48,24
202204;85,6;48,24
202205;85,6;48,24
202206;87,57;49,35
202207;87,57;49,35
202208;87,57;49,35
202209;87,57;49,35
202210;87,57;49,35
202211;87,57;49,35
202212;88,72;50
202301;88,72;50
202302;88,72;50
202303;88,72;50
202304;88,72;50
202305;88,72;50
202306;89,29;50,32
202307;89,29;50,32
202308;89,29;50,32
202309;89,29;50,32
202310;89,29;50,32
202311;89,29;50,32
202312;90,08;50,76
202401;90,08;50,76
202402;90,08;50,76
202403;90,08;50,76
202404;90,08;50,76
202405;90,08;50,76
202406;91,55;51,6
202407;91,55;51,6
202408;91,55;51,6
202409;91,55;51,6
202410;91,55;51,6
202411;91,55;51,6
202412;91,43;51,53
202501;91,43;51,53
202502;91,43;51,53
202503;91,43;51,53
202504;91,43;51,53
202505;91,43;51,53
202506;91,98;51,83
202507;91,98;51,83
202508;91,98;51,83
202509;91,98;51,83
202510;91,98;51,83
202511;91,98;51,83
202512;91,98;51,83
